gender;email;phone;cell;nat;name.title;name.first;name.last;location.street.number;location.street.name;location.city;location.state;location.country;location.postcode;location.coordinates.latitude;location.coordinates.longitude;location.timezone.offset;location.timezone.description;login.uuid;login.username;login.password;login.salt;login.md5;login.sha1;login.sha256;dob.date;dob.age;registered.date;registered.age;id.name;id.value;picture.large;picture.medium;picture.thumbnail;load_date
male;ray.rhodes@example.com;021-662-0968;081-439-3731;IE;Mr;Ray;Rhodes;4988;The Drive;Waterford;Roscommon;Ireland;17746;-2.4438;-172.3163;+10:00;Eastern Australia, Guam, Vladivostok;ccf7dfc1-5e3b-4d9f-adf5-79e82b931f9d;whitefrog539;slayer;u5oRZL0z;bb3339d56e19e65000b2936053248590;12aa1a10afb662b170ef410771fd2bf2fdce95a5;2fdde4a88cd6e2bca3ff161324241b854f26ae963536d342181d22e069f900b3;1978-06-27T13:11:20.425Z;45;2019-11-28T05:01:36.198Z;4;PPS;1620690T;https://randomuser.me/api/portraits/men/53.jpg;https://randomuser.me/api/portraits/med/men/53.jpg;https://randomuser.me/api/portraits/thumb/men/53.jpg;07:48:53
female;amelia.park@example.com;A28 N84-5486;O30 A22-0731;CA;Ms;Amelia;Park;232;Cedar St;Chesterville;Yukon;Canada;R2C 9U7;-0.6887;-42.6749;-2:00;Mid-Atlantic;f4b532a3-1ae0-41e1-be60-32fed675767a;goldenpanda577;kilroy;YzEwExCP;1dc4d96aa68dee2ca657698341f35f13;e2313f49015a19a1eefe98fcb37901501f3fc4e1;103310e650eded2c7a1eea0c4a3584840c135f710be4eb7d028fa4d4380f2c5f;1948-06-02T13:35:13.034Z;75;2008-03-16T20:13:28.284Z;16;SIN;454275496;https://randomuser.me/api/portraits/women/95.jpg;https://randomuser.me/api/portraits/med/women/95.jpg;https://randomuser.me/api/portraits/thumb/women/95.jpg;07:48:53
male;angel.diaz@example.com;(658) 628 4469;(608) 348 2997;MX;Mr;Ángel;Díaz;9532;Ampliación Zacatecas;Mezcales;Zacatecas;Mexico;36700;2.2069;-67.0328;+7:00;Bangkok, Hanoi, Jakarta;b814f03d-8d79-47db-9510-330c521ec920;silvergoose216;mikey;zk8jDNAy;ee75cf4383d7cfd87ee11970c06da25f;682a229024fcd663149f2ad976d0fe277020d7bf;a782f1d9a60424e664c7d8134a4486b6fa9220df09820ef3b3e0dccfdfe1015f;1962-12-15T12:35:33.669Z;61;2010-06-05T22:09:28.753Z;13;NSS;66 84 62 4217 3;https://randomuser.me/api/portraits/men/18.jpg;https://randomuser.me/api/portraits/med/men/18.jpg;https://randomuser.me/api/portraits/thumb/men/18.jpg;07:48:53
male;joshua.gray@example.com;08-2457-0724;0430-505-493;AU;Mr;Joshua;Gray;5725;W Campbell Ave;Tamworth;South Australia;Australia;8342;-54.7061;126.6665;+9:30;Adelaide, Darwin;0eed64ba-d94f-4411-be8e-4e726bc9e7ac;beautifultiger728;biit;SbPrEGE3;e63a57c24bce29ab7430f08cb7ed32b0;4f33fa80e92650e04035a2aa7b02457d269aa44c;346093fbdb9d0098ca0118f19625e3e541549a73e6db80692fcb755cb68617f3;1956-07-23T21:12:30.070Z;67;2016-12-17T13:12:21.732Z;7;TFN;726300599;https://randomuser.me/api/portraits/men/21.jpg;https://randomuser.me/api/portraits/med/men/21.jpg;https://randomuser.me/api/portraits/thumb/men/21.jpg;07:48:53
male;mhdy.rdyy@example.com;024-08795896;0922-297-2976;IR;Mr;مهدي;رضایی;1293;میدان 15خرداد;گرگان;گیلان;Iran;48166;72.2857;148.0628;-1:00;Azores, Cape Verde Islands;9223572c-dc92-407d-9f65-03b2c9d7947e;ticklishrabbit523;jared;XAQPm1FL;792be245409daa750c006845428e6727;8cd27fe89c8b8c2c195c5024c3b26e790e57073b;55421fe24f8d2865788b8c540d33f4892ffdb62a5c386d35c0b37be40c6fcff9;1995-11-23T20:05:43.393Z;28;2002-05-11T14:13:14.632Z;21;;;https://randomuser.me/api/portraits/men/95.jpg;https://randomuser.me/api/portraits/med/men/95.jpg;https://randomuser.me/api/portraits/thumb/men/95.jpg;07:48:53
male;sokil.stoyko@example.com;(066) R57-9746;(068) J78-5064;UA;Mr;Sokil;Stoyko;5437;Gromadyanskiy provulok;Truskavec;Avtonomna Respublika Krim;Ukraine;76942;16.0647;-128.1469;-11:00;Midway Island, Samoa;13f9a11a-bfed-4142-8f39-b3dc8b87173b;yellowbutterfly726;squirt;fWVZFQtj;4c5471b5ea48a2def2ae556735c73f98;1ab61549b1a9b1b452a871000f0b0f90a7e9c897;0be72718c31beb9b23f3edb4fa80af0034b5e46d48cfa27adb9f8102e589552b;1964-01-18T15:32:01.821Z;60;2015-01-27T12:48:09.540Z;9;;;https://randomuser.me/api/portraits/men/66.jpg;https://randomuser.me/api/portraits/med/men/66.jpg;https://randomuser.me/api/portraits/thumb/men/66.jpg;07:48:53
female;dianne.hernandez@example.com;04-4321-7187;0483-639-912;AU;Miss;Dianne;Hernandez;8849;Forest Ln;Ballarat;South Australia;Australia;9552;30.9943;116.2457;-5:00;Eastern Time (US & Canada), Bogota, Lima;8af19c04-bae7-4965-974e-6874c87fba31;happysnake433;windows;N14wbySp;809acf89662779d56572417f2af2a9d8;aa46f98ceab1c307edfd050bacc6d6caa3be7caa;31d36531b9bc3e60d9628baad30f54f29b831136064a11365aeb7fbffeecd0fd;1985-09-04T22:32:25.473Z;38;2002-08-25T03:03:22.781Z;21;TFN;726062331;https://randomuser.me/api/portraits/women/34.jpg;https://randomuser.me/api/portraits/med/women/34.jpg;https://randomuser.me/api/portraits/thumb/women/34.jpg;07:48:53
male;samuel.guerin@example.com;078 008 41 92;077 284 67 95;CH;Monsieur;Samuel;Guerin;7932;Rue Pierre-Delore;Gravesano;Basel-Landschaft;Switzerland;9135;82.3255;99.1860;-3:30;Newfoundland;c9314cf0-8f46-42f2-ba66-9c525639da3d;sadmouse389;1003;Jb2gY7Py;7fe4f3ac424773e68816a6bb11e96cd6;95f4e41d56d00cd4aa43ed2c6ef7b5bf93d8cbd4;7b1d0771da24bf946b1812156631d322b8fb1e0870a8e432d80774c0aae0e5a7;1959-03-28T06:12:53.459Z;65;2021-08-22T06:09:53.255Z;2;AVS;756.9236.4421.60;https://randomuser.me/api/portraits/men/33.jpg;https://randomuser.me/api/portraits/med/men/33.jpg;https://randomuser.me/api/portraits/thumb/men/33.jpg;07:48:53
male;krzysztof.uhlig@example.com;0236-7770791;0174-2283882;DE;Mr;Krzysztof;Uhlig;4716;Schulstraße;Glashütte;Sachsen;Germany;44699;-4.4573;-23.2917;+5:30;Bombay, Calcutta, Madras, New Delhi;9f0d56e4-ffba-4ad7-9363-3b60785e9ed8;blackswan140;2003;twQ4y2Kn;65ea6f371492482741e8e575c54199f8;b3dee11f2090a6537cc1182418375a605eb1f464;8caf8a786d40168a41c702f807ca14559492f03a730da45069f7172793ce1f78;1989-09-02T13:35:15.458Z;34;2012-03-25T13:37:10.910Z;12;SVNR;04 020989 U 136;https://randomuser.me/api/portraits/men/53.jpg;https://randomuser.me/api/portraits/med/men/53.jpg;https://randomuser.me/api/portraits/thumb/men/53.jpg;07:48:53
male;tristan.jorgensen@example.com;22437572;63987357;DK;Mr;Tristan;Jørgensen;3151;Langelinie;Haslev;Danmark;Denmark;29586;-31.4034;80.5298;-1:00;Azores, Cape Verde Islands;0a4787d2-1eb3-4b3e-869b-0b37608097e5;crazysnake599;giovanni;KfA8PSXF;56d77d68557428014da12e7a372c5435;2c48ee3d11db4aa1fdc6ccd3718053787e798e5b;afbafd8fc5d5cc3d1f3b28a6ebf7214dc4c96c2731be45dc52326d92b5460619;1997-06-13T11:09:09.076Z;26;2020-09-01T11:19:35.257Z;3;CPR;130697-9122;https://randomuser.me/api/portraits/men/40.jpg;https://randomuser.me/api/portraits/med/men/40.jpg;https://randomuser.me/api/portraits/thumb/men/40.jpg;07:48:53
