gender;email;phone;cell;nat;name.title;name.first;name.last;location.street.number;location.street.name;location.city;location.state;location.country;location.postcode;location.coordinates.latitude;location.coordinates.longitude;location.timezone.offset;location.timezone.description;login.uuid;login.username;login.password;login.salt;login.md5;login.sha1;login.sha256;dob.date;dob.age;registered.date;registered.age;id.name;id.value;picture.large;picture.medium;picture.thumbnail;load_date
female;kristen.byrd@example.com;(901) 832-5260;(204) 756-2539;US;Ms;Kristen;Byrd;2080;Washington Ave;Springfield;Oregon;United States;34388;84.2740;84.8312;+9:30;Adelaide, Darwin;81ce3fdb-42ef-4380-9f83-611e5f12c538;bluegorilla180;larry;l30oFdh0;d15db81e9c8b301cd036b6b519990421;9606c0ca0b6a59ad11944dd5545dc47a8f67042c;57b6744994ce5b0f4ed7eb67bee4258e19a97eba4ed82d1c9a63bebfdb1e96bc;1948-09-27T15:17:55.987Z;75;2020-03-18T22:07:51.234Z;4;SSN;256-73-1456;https://randomuser.me/api/portraits/women/30.jpg;https://randomuser.me/api/portraits/med/women/30.jpg;https://randomuser.me/api/portraits/thumb/women/30.jpg;14:59:20
female;manuela.prieto@example.com;914-261-840;699-495-814;ES;Mrs;Manuela;Prieto;5758;Calle del Barquillo;Gijón;Melilla;Spain;37190;-39.4998;40.1379;-3:30;Newfoundland;0006a8a3-96f3-49ac-9178-a4e9b959c5d4;orangeleopard491;depeche;Dm3IR0fb;edcd65615406a6ca8fc730e73fdad2e2;10e5eee861bc4567e0bab75de1dba6105e93ba19;4b445b8d08df4e40d4167a9ee203ef7cee31ed0a3e7b0a3d7ac5a2f6edf53fde;1955-08-11T11:42:48.406Z;68;2003-04-28T21:33:18.656Z;20;DNI;98770599-V;https://randomuser.me/api/portraits/women/29.jpg;https://randomuser.me/api/portraits/med/women/29.jpg;https://randomuser.me/api/portraits/thumb/women/29.jpg;14:59:20
male;clarence.lane@example.com;(673) 653-7182;(943) 281-2124;US;Mr;Clarence;Lane;5311;Harrison Ct;Miami Gardens;South Dakota;United States;87464;-5.7264;-109.1051;+11:00;Magadan, Solomon Islands, New Caledonia;d8bf1048-8630-4427-ba2d-71ff6f8e27ed;crazyelephant653;eileen;q8J6P6HN;bcbab31f2e810b32791cba7f233069db;4ea09ce8394975381c1c799f6fb517ac8c96ae34;b067b207970903b52a8208cfc0d2005c18e307278d021ae9d1198fc40ff032f7;2000-04-08T09:43:57.466Z;24;2008-08-06T04:17:35.289Z;15;SSN;270-67-3894;https://randomuser.me/api/portraits/men/7.jpg;https://randomuser.me/api/portraits/med/men/7.jpg;https://randomuser.me/api/portraits/thumb/men/7.jpg;14:59:20
female;avery.osullivan@example.com;061-974-6993;081-833-3249;IE;Miss;Avery;Osullivan;6390;Grafton Street;Ballinasloe;Wicklow;Ireland;83269;41.8113;100.9016;+9:00;Tokyo, Seoul, Osaka, Sapporo, Yakutsk;18fedf42-8f85-48cd-8f9e-ae8a5449f518;ticklishpeacock487;rocky1;PvR9qVYx;809feb30d1067daa93cf20810aa83eda;a156fb92649cba54febfd5ed8066305b32b95bc3;3285d731521566b8c5f2aa9e5927ee7682794618efa7ad5a704a3a10c8bc7e9d;1984-08-24T10:36:52.562Z;39;2009-06-01T20:15:26.923Z;14;PPS;1577561T;https://randomuser.me/api/portraits/women/7.jpg;https://randomuser.me/api/portraits/med/women/7.jpg;https://randomuser.me/api/portraits/thumb/women/7.jpg;14:59:20
male;jeff.myers@example.com;0116471 576 3580;07221 807537;GB;Mr;Jeff;Myers;6773;North Street;Peterborough;Staffordshire;United Kingdom;U6Z 8UW;45.9969;-59.9630;-2:00;Mid-Atlantic;985c3c3e-661d-4243-b73b-1ac6ce77f2b5;beautifuldog344;tripper;ajYXI6xW;005e36d63de8a7c1d3b1f14203263921;aecf43fca262566a4608984df2afcf46a008c962;d8d9783cc3d3215fb785167d78b300019dcc43a61f4af40483da0d845e5d6512;1959-10-28T00:53:07.653Z;64;2015-09-11T04:22:14.961Z;8;NINO;BJ 97 69 56 C;https://randomuser.me/api/portraits/men/28.jpg;https://randomuser.me/api/portraits/med/men/28.jpg;https://randomuser.me/api/portraits/thumb/men/28.jpg;14:59:20
male;desiderio.freitas@example.com;(45) 7841-0957;(33) 1021-8202;BR;Mr;Desidério;Freitas;5777;Rua Dezenove de Outubro;Itapetininga;Tocantins;Brazil;27795;68.5433;50.0328;-9:00;Alaska;31fda5bf-4cc6-4cdc-ab51-dfc69ff4d555;purplebird425;sheriff;HJnPrZzW;1ad59d2f789da649921857bd117db6a7;c500f21de3560afcc70f16e76e083fb2a4d62d1a;10f09b9ac4a84cde223099a76c1c9020b1d84344017f4b10f0f3a37c48ea8808;1970-10-02T20:54:06.995Z;53;2004-06-12T04:53:13.351Z;19;CPF;168.369.775-35;https://randomuser.me/api/portraits/men/27.jpg;https://randomuser.me/api/portraits/med/men/27.jpg;https://randomuser.me/api/portraits/thumb/men/27.jpg;14:59:20
female;enora.robin@example.com;03-93-15-09-45;06-91-30-01-61;FR;Mrs;Enora;Robin;6949;Rue Chazière;Limoges;Loire;France;69989;-36.4283;-26.3474;-3:30;Newfoundland;f38cc8a2-627a-46a8-ad80-2dc8e6ce1244;happykoala840;rufus;CJzu7oQJ;97d72acbf9bab970f93f7786af48b3ed;48228e0edda84562c8bb4c5b9af9bc95b27588fa;b53d2a1ccc9e372c066f315fadd0f574622050e4cd1bc8dd66bc59416f6cdcac;1958-02-26T00:28:34.768Z;66;2003-02-27T08:04:44.164Z;21;INSEE;2580166610656 04;https://randomuser.me/api/portraits/women/47.jpg;https://randomuser.me/api/portraits/med/women/47.jpg;https://randomuser.me/api/portraits/thumb/women/47.jpg;14:59:20
male;bilovid.ribalko@example.com;(098) R86-2571;(068) Q31-2912;UA;Mr;Bilovid;Ribalko;9542;Slavi Stecko;Yalta;Hersonska;Ukraine;11763;30.2318;-77.6353;+8:00;Beijing, Perth, Singapore, Hong Kong;1d9e1220-ff67-428f-b096-c19ba58c0937;blackbutterfly908;daylight;Z3x5lch9;f465dd9f707e988e1b6464a08ae63adb;edbb59d6804c91257cf1198b0a2cd86872f5aecb;bb77b75a22a2bda1d7ea6209f63262eca0c13ec07c9aae8b874df405ad953eb2;1974-11-22T03:49:42.769Z;49;2017-07-26T03:49:32.585Z;6;;;https://randomuser.me/api/portraits/men/78.jpg;https://randomuser.me/api/portraits/med/men/78.jpg;https://randomuser.me/api/portraits/thumb/men/78.jpg;14:59:20
female;sonia.pena@example.com;946-826-498;604-419-118;ES;Mrs;Sonia;Peña;4716;Avenida de Burgos;Ferrol;País Vasco;Spain;33280;19.1505;-69.2895;+6:00;Almaty, Dhaka, Colombo;819f7a41-1661-4c72-8cde-2ba9626b9e24;beautifulladybug817;francine;pIkJMc3Q;103c7e78d25751fb97ac7ecf2cbeef35;a1aa881ae72e832ee920e6c4437f471d316e09d2;c8934b9dae3a9fb61dc4a3262f2fdfe62345fa7ed0905ebfc59bb5b7be4b1706;1966-07-03T14:46:20.829Z;57;2018-03-23T11:57:59.103Z;6;DNI;23841790-R;https://randomuser.me/api/portraits/women/82.jpg;https://randomuser.me/api/portraits/med/women/82.jpg;https://randomuser.me/api/portraits/thumb/women/82.jpg;14:59:20
male;saverio.hagendoorn@example.com;(052) 7166569;(06) 66290284;NL;Mr;Saverio;Hagendoorn;323;Geurkenweg;Ammerzoden;Zuid-Holland;Netherlands;8062 MT;43.5850;-123.5967;+9:30;Adelaide, Darwin;2203c4e3-acc9-4a3c-bad1-bff50f7a1c38;heavykoala663;1978;ON3SKLZt;da5f32763251599eb3e345c63b0200dd;e96ca33bb4e0acd9a9df2cc00240e5f2ab7ca150;430a68bfd83a77dac923a6adfb2418db71263fb435996f438b7df985f29a5b76;1993-10-16T18:45:59.732Z;30;2003-10-17T23:27:25.659Z;20;BSN;94224015;https://randomuser.me/api/portraits/men/24.jpg;https://randomuser.me/api/portraits/med/men/24.jpg;https://randomuser.me/api/portraits/thumb/men/24.jpg;14:59:20
