gender;email;phone;cell;nat;name.title;name.first;name.last;location.street.number;location.street.name;location.city;location.state;location.country;location.postcode;location.coordinates.latitude;location.coordinates.longitude;location.timezone.offset;location.timezone.description;login.uuid;login.username;login.password;login.salt;login.md5;login.sha1;login.sha256;dob.date;dob.age;registered.date;registered.age;id.name;id.value;picture.large;picture.medium;picture.thumbnail;load_date
female;imogen.kumar@example.com;(815)-516-4838;(127)-614-3880;NZ;Mrs;Imogen;Kumar;8296;Ronwood Avenue;Greymouth;West Coast;New Zealand;87135;55.2998;47.6488;+9:30;Adelaide, Darwin;667edc3f-d629-4054-a2a6-790bed2993b7;greenladybug655;pathfind;yiMbwpyi;e044d1655ea42bef3eb59e3976e83421;7438373a094d055cb6c4f02149be5903d0e7f71f;41f12b45976154258099728c537f3993ae44698b89a990f340f992e48f218f54;1946-10-29T02:03:37.713Z;77;2016-03-12T02:29:48.052Z;8;;;https://randomuser.me/api/portraits/women/85.jpg;https://randomuser.me/api/portraits/med/women/85.jpg;https://randomuser.me/api/portraits/thumb/women/85.jpg;08:23:06
female;holly.stanley@example.com;(610) 617-1813;(576) 577-1554;US;Mrs;Holly;Stanley;9181;Stevens Creek Blvd;Independence;Virginia;United States;31996;59.6666;-69.8671;-1:00;Azores, Cape Verde Islands;d14ba264-ed1f-486d-96ec-6e39aa81e641;smallmeercat203;acidburn;LMQGh6ys;4f5eeff20e4513b8f927038c37cbe209;9afac7b8b140a713f1fddda1c59b58adf5f9e1e9;2f0458da083522f663f7823e12cb76f8eec18cf6d8953c6bb7c421172ac2cebe;1994-12-31T10:33:26.177Z;29;2021-01-22T06:15:00.029Z;3;SSN;777-73-3709;https://randomuser.me/api/portraits/women/90.jpg;https://randomuser.me/api/portraits/med/women/90.jpg;https://randomuser.me/api/portraits/thumb/women/90.jpg;08:23:06
female;grace.snyder@example.com;(423) 268-4553;(830) 321-5139;US;Miss;Grace;Snyder;820;Hillcrest Rd;Hamsburg;Idaho;United States;58152;51.0058;29.5922;+5:00;Ekaterinburg, Islamabad, Karachi, Tashkent;1eee9218-1b1d-4257-ba7b-c2887ccbc56c;blackelephant343;tahoe;Zhu6eceW;6fa6b4914f76089824a72ea8c36ec7b8;c92adc56e603c75ead94ff6ba90ec022eca7f7de;70d1b5257b6705aa36d4e95ff49911f496ea167603a599248a39abcb589c49cd;1974-10-07T19:54:34.024Z;49;2004-07-10T09:50:07.447Z;19;SSN;575-94-5602;https://randomuser.me/api/portraits/women/50.jpg;https://randomuser.me/api/portraits/med/women/50.jpg;https://randomuser.me/api/portraits/thumb/women/50.jpg;08:23:06
male;georgije.teodosic@example.com;031-5529-596;061-0800-212;RS;Mr;Georgije;Teodosić;9252;Buljubaše Ranka Uroševića;Doljevac;Braničevo;Serbia;64787;-73.4031;168.1048;+3:30;Tehran;fd5d1a15-638d-415e-901c-e2348185350a;sadduck871;classics;PC6FTCqP;34b1fc6680733ad39e00cbe3c71064e4;8a6517f0b343e04dafa7cda85182c50d96617aa0;24df79f2c5386e87d04a1ba6a15e51011ea726509b4dcba5d2552a51ef04f159;1955-10-07T02:54:58.879Z;68;2018-08-20T15:56:15.821Z;5;SID;124278687;https://randomuser.me/api/portraits/men/73.jpg;https://randomuser.me/api/portraits/med/men/73.jpg;https://randomuser.me/api/portraits/thumb/men/73.jpg;08:23:06
male;tririg.golubovich@example.com;(068) V91-5212;(097) Z53-7533;UA;Mr;Tririg;Golubovich;5088;Kruglouniversitetska;Girnik;Poltavska;Ukraine;48194;67.1148;-20.8985;-10:00;Hawaii;886c6033-2915-4e9b-8f79-914d74d9e230;tinybird347;brady;uagBPPsi;2f958ea8c27f219a1d94afd99948e17d;ea586b0b545a01e93e377331080ff892e92f4c5a;07932a8de1f6f8f647e03b61ed51c08ef0187c9b45a04154623a13f845b566ca;1967-09-07T19:27:47.481Z;56;2011-06-27T06:00:07.380Z;12;;;https://randomuser.me/api/portraits/men/7.jpg;https://randomuser.me/api/portraits/med/men/7.jpg;https://randomuser.me/api/portraits/thumb/men/7.jpg;08:23:06
female;iman.fiskvik@example.com;67672284;96960510;NO;Ms;Iman;Fiskvik;9979;Nedre Rommen;Ørsta;Trøndelag;Norway;5834;19.5748;58.9798;-3:30;Newfoundland;7e8b74a3-b3d3-4dbb-a883-e8ea21e10324;bigfrog941;jonny;uZ77mfq1;8d8154c728139b1826384dc782415d31;53a9078d3d485737b816f9da7cdc0b57d632c382;2735bab3fc8a4e715f7f6f5bb2f1bb27c40aff6019c58f7e37a5822f130bdd11;1997-12-24T05:09:59.603Z;26;2018-02-04T21:52:21.512Z;6;FN;24129740805;https://randomuser.me/api/portraits/women/91.jpg;https://randomuser.me/api/portraits/med/women/91.jpg;https://randomuser.me/api/portraits/thumb/women/91.jpg;08:23:06
male;kevin.arnold@example.com;08-3645-3388;0499-182-340;AU;Mr;Kevin;Arnold;9535;Timber Wolf Trail;Rockhampton;Northern Territory;Australia;305;-55.2975;-74.0993;-7:00;Mountain Time (US & Canada);74cdadce-6e31-4873-a650-17aa422d0467;happywolf550;annika;sKHJZsu2;8b1185efcd4482239c121171bc2ee18c;d96c3e219454750c6181bf9ba57c3ffef68250f0;12021637ebe29c25d17c954edebc9b2265c6cd395d1c83101b5668473fef4b39;1991-01-05T17:05:11.879Z;33;2018-08-11T13:47:52.121Z;5;TFN;580868381;https://randomuser.me/api/portraits/men/97.jpg;https://randomuser.me/api/portraits/med/men/97.jpg;https://randomuser.me/api/portraits/thumb/men/97.jpg;08:23:06
male;jasper.green@example.com;(882)-779-3538;(888)-681-7359;NZ;Mr;Jasper;Green;5542;Lake Terrace;Timaru;Northland;New Zealand;60598;-77.0054;-38.2137;+5:00;Ekaterinburg, Islamabad, Karachi, Tashkent;df39413a-f85b-4855-b963-e5f9fd15dff3;whitekoala668;grace;m6Y76fbP;a3515f36beb654c6406cd06dac60b91f;b46470cbde72b8312b82a07813490204aa8b1aa4;8b4d8007d2c89c6e0cc877cc45430f039febf229653f669d395239467c944a6e;1955-03-07T13:13:47.397Z;69;2006-02-21T03:17:29.270Z;18;;;https://randomuser.me/api/portraits/men/78.jpg;https://randomuser.me/api/portraits/med/men/78.jpg;https://randomuser.me/api/portraits/thumb/men/78.jpg;08:23:06
female;gabrielle.li@example.com;F07 I14-5274;S69 B10-9522;CA;Miss;Gabrielle;Li;6268;Grand Marais Ave;Stratford;Nova Scotia;Canada;N2W 8O8;-72.6560;-81.8286;-5:00;Eastern Time (US & Canada), Bogota, Lima;d715efcf-8cbb-434d-baaf-918212a02903;sadtiger539;earnhard;Z58u0z0r;e61c7e0c91e3a2db312df311749d424b;464c50d7abee3eec0e94eaf0f038e8eb3f7217af;343ca7291158d56dc268e68b42d8f0f30e61c3d85dcecbb150123336f30437e9;1989-09-22T20:13:29.461Z;34;2003-12-15T04:17:03.761Z;20;SIN;680432168;https://randomuser.me/api/portraits/women/90.jpg;https://randomuser.me/api/portraits/med/women/90.jpg;https://randomuser.me/api/portraits/thumb/women/90.jpg;08:23:06
female;carine.roche@example.com;078 977 71 64;075 013 25 85;CH;Mademoiselle;Carine;Roche;6982;Rue du Stade;Rongellen;Zug;Switzerland;7931;81.6429;119.4566;+10:00;Eastern Australia, Guam, Vladivostok;b4b4989d-45d1-46f8-9dfd-5b6945defe2d;smallgorilla486;bigd;gYmP2SYs;80c8d675ca79e08ba71b44e67c65b5c7;b600573c6731dd3c7ef13e6f61f4fcf6cbf6bf66;d39b0cbf021aef2efdf04c44619012eb21333b21015d8dadc5087e09933b429f;1970-07-06T17:47:24.848Z;53;2015-12-26T04:57:22.571Z;8;AVS;756.8226.4039.45;https://randomuser.me/api/portraits/women/69.jpg;https://randomuser.me/api/portraits/med/women/69.jpg;https://randomuser.me/api/portraits/thumb/women/69.jpg;08:23:06
